import time: self [us] | cumulative | imported package
import time:       823 |       5156 |                   pydantic.errors
import time:       796 |       7310 |                 pydantic
import time:     10031 |      10031 |                   pydantic_core._pydantic_core
import time:      1211 |       1211 |                         numbers
import time:      4728 |       5939 |                       _decimal
import time:       726 |       6665 |                     decimal
import time:     23386 |      30050 |                   pydantic_core.core_schema
import time:      1357 |      41438 |                 pydantic_core
import time:       581 |        581 |                 pydantic._internal
import time:       501 |        501 |                     pydantic._internal._internal_dataclass
import time:      2431 |       2931 |                   pydantic.aliases
import time:      2046 |       2046 |                   pydantic.config
import time:       998 |        998 |                   pydantic.warnings
import time:      1337 |       7311 |                 pydantic._internal._config
import time:       993 |        993 |                         pydantic._internal._namespace_utils
import time:      1263 |       1263 |                             sysconfig
import time:      1773 |       1773 |                             _sysconfigdata__darwin_darwin
import time:      1081 |       1081 |                             _osx_support
import time:      2793 |       6908 |                           zoneinfo._tzpath
import time:       633 |        633 |                           zoneinfo._common
import time:      2823 |       2823 |                           _zoneinfo
import time:       975 |      11338 |                         zoneinfo
import time:      1343 |      13674 |                       pydantic._internal._typing_extra
import time:       588 |      14262 |                     pydantic._internal._repr
import time:       770 |        770 |                     pydantic._internal._core_metadata
import time:      1252 |      16282 |                   pydantic._internal._core_utils
import time:       668 |        668 |                     pydantic._internal._import_utils
import time:      1964 |       2631 |                   pydantic._internal._utils
import time:      6564 |      25476 |                 pydantic._internal._decorators
import time:       559 |        559 |                   pydantic._internal._docs_extraction
import time:       871 |       1429 |                 pydantic._internal._fields
import time:      1150 |       1150 |                 pydantic._internal._forward_ref
import time:      2423 |       2423 |                 pydantic._internal._generics
import time:      1484 |       1484 |                     pydantic.plugin
import time:       996 |       2480 |                   pydantic.plugin._schema_validator
import time:       927 |       3407 |                 pydantic._internal._mock_val_ser
import time:      1251 |       1251 |                       fnmatch
import time:       154 |        154 |                         _winapi
import time:       119 |        119 |                         nt
import time:       107 |        107 |                         nt
import time:       104 |        104 |                         nt
import time:       100 |        100 |                         nt
import time:        98 |         98 |                         nt
import time:        97 |         97 |                         nt
import time:       211 |        986 |                       ntpath
import time:      3660 |       5895 |                     pathlib
