import time: self [us] | cumulative | imported package
import time:       435 |        435 |                             cryptography.hazmat.primitives.constant_time
import time:      3214 |       3649 |                           cryptography.x509.extensions
import time:      1623 |       7972 |                         cryptography.x509.base
import time:      2027 |      31331 |                       cryptography.x509
import time:       318 |        318 |                             cryptography.hazmat.bindings.openssl
import time:       488 |        488 |                               cryptography.hazmat.bindings.openssl._conditional
import time:      3841 |       4329 |                             cryptography.hazmat.bindings.openssl.binding
import time:      1070 |       5717 |                           cryptography.hazmat.backends.openssl.backend
import time:       606 |       6322 |                         cryptography.hazmat.backends.openssl
import time:        39 |       6360 |                       cryptography.hazmat.backends.openssl.backend
import time:      1914 |     127399 |                     google.auth.crypt.es
import time:       531 |        531 |                     google.auth.crypt.es256
import time:      2222 |       2222 |                       google.auth.crypt._cryptography_rsa
import time:       564 |        564 |                             pyasn1
import time:       619 |       1182 |                           pyasn1.codec
import time:      1997 |       3178 |                         pyasn1.codec.der
import time:       275 |        275 |                           pyasn1.codec.cer
import time:       845 |        845 |                             pyasn1.error
import time:       354 |        354 |                               pyasn1.type
import time:       569 |        569 |                                 pyasn1.codec.ber
import time:       432 |        432 |                                       pyasn1.type.error
import time:      1020 |       1451 |                                     pyasn1.type.constraint
import time:       411 |        411 |                                     pyasn1.type.tag
import time:       414 |        414 |                                     pyasn1.type.tagmap
import time:      1130 |       3405 |                                   pyasn1.type.base
import time:       615 |       4019 |                                 pyasn1.codec.ber.eoo
import time:       312 |        312 |                                 pyasn1.compat
import time:       487 |        487 |                                 pyasn1.compat.integer
import time:       634 |        634 |                                 pyasn1.type.namedtype
import time:       446 |        446 |                                 pyasn1.type.namedval
import time:      2583 |       9048 |                               pyasn1.type.univ
import time:      1166 |      10567 |                             pyasn1.codec.streaming
import time:       832 |        832 |                               pyasn1.debug
import time:       938 |        938 |                               pyasn1.type.char
import time:       735 |        735 |                               pyasn1.type.useful
import time:      4258 |       6762 |                             pyasn1.codec.ber.decoder
import time:       788 |      18960 |                           pyasn1.codec.cer.decoder
import time:       698 |      19931 |                         pyasn1.codec.der.decoder
import time:       580 |        580 |                         pyasn1_modules
import time:       833 |        833 |                         pyasn1_modules.pem
import time:       523 |        523 |                           pyasn1.type.opentype
import time:     25419 |      25942 |                         pyasn1_modules.rfc2459
import time:     17291 |      17291 |                           pyasn1_modules.rfc2251
import time:      1472 |      18763 |                         pyasn1_modules.rfc5208
import time:       702 |        702 |                               rsa.common
import time:       422 |        422 |                                 rsa.transform
import time:       558 |        979 |                               rsa.randnum
import time:       697 |       2377 |                             rsa.prime
import time:       414 |        414 |                             rsa.pem
import time:       388 |        388 |                             rsa.core
import time:      1655 |       4833 |                           rsa.key
import time:       720 |        720 |                           rsa.pkcs1
import time:       857 |       6410 |                         rsa
import time:      1344 |      76977 |                       google.auth.crypt._python_rsa
import time:       632 |      79831 |                     google.auth.crypt.rsa
import time:       632 |     209974 |                   google.auth.crypt
import time:       480 |     210453 |                 google.auth._service_account_info
import time:       572 |        572 |                   google.auth._exponential_backoff
import time:       553 |        553 |                   google.auth.transport.mtls
import time:       642 |       1767 |                 google.auth.iam
import time:       519 |        519 |                   google.auth._cache
import time:      1219 |       1738 |                 google.auth.jwt
import time:       614 |        614 |                 google.oauth2._client
import time:      1317 |     216268 |               google.oauth2.service_account
import time:      1080 |     345719 |             google.auth.transport.requests
import time:       772 |        772 |               google.auth._cloud_sdk
import time:      3834 |       3834 |                     termios
import time:       837 |       4670 |                   getpass
import time:      4900 |       4900 |                       google.oauth2.webauthn_types
import time:       822 |       5721 |                     google.oauth2.webauthn_handler
import time:       622 |       6343 |                   google.oauth2.webauthn_handler_factory
import time:       700 |      11713 |                 google.oauth2.challenges
import time:       450 |      12162 |               google.oauth2.reauth
import time:       850 |      13783 |             google.oauth2.credentials
import time:      1588 |     361090 |           firebase_admin.credentials
import time:       563 |        563 |           firebase_admin.__about__
import time:       937 |     371216 |         firebase_admin
import time:       801 |        801 |                 firebase_admin.exceptions
import time:       660 |        660 |                 firebase_admin._utils
import time:      1310 |       2770 |               firebase_admin._auth_utils
import time:       493 |        493 |                 firebase_admin._rfc3339
import time:       437 |        437 |                 firebase_admin._user_identifier
import time:       636 |        636 |                 firebase_admin._user_import
import time:      1293 |       2858 |               firebase_admin._user_mgt
import time:      1623 |       7251 |             firebase_admin._auth_providers
import time:      1148 |       1148 |             firebase_admin._http_client
import time:       462 |        462 |                   cachecontrol.cache
import time:       837 |        837 |                         msgpack.exceptions
import time:       702 |        702 |                         msgpack.ext
import time:      3912 |       3912 |                         msgpack._cmsgpack
import time:       776 |       6226 |                       msgpack
import time:       437 |       6662 |                     cachecontrol.serialize
import time:      1253 |       7914 |                   cachecontrol.controller
import time:      3744 |       3744 |                     mmap
import time:       524 |       4268 |                   cachecontrol.filewrapper
import time:       898 |      13541 |                 cachecontrol.adapter
import time:       417 |        417 |                 cachecontrol.wrapper
import time:      1657 |      15614 |               cachecontrol
import time:       482 |        482 |               google.oauth2.id_token
import time:      1068 |      17163 |             firebase_admin._token_gen
import time:      1036 |      26597 |           firebase_admin._auth_client
import time:       621 |      27217 |         firebase_admin.auth
import time:       863 |     399296 |       app.core.firebase
import time:       623 |        623 |             google.cloud.firestore_v1.gapic_version
import time:       877 |        877 |                     google.protobuf
import time:       498 |        498 |                         google.protobuf.internal
import time:        67 |         67 |                           google.protobuf.internal._api_implementation
import time:       895 |        895 |                           google.protobuf.message
import time:       692 |        692 |                           google.protobuf.internal.enum_type_wrapper
import time:        57 |         57 |                           google.protobuf.enable_deterministic_proto_serialization
import time:      8568 |      10278 |                         google.protobuf.internal.api_implementation
import time:      1472 |      12247 |                       google.protobuf.descriptor
import time:       610 |        610 |                         google.protobuf.descriptor_database
import time:       829 |        829 |                         google.protobuf.text_encoding
import time:       415 |        415 |                         google.protobuf.internal.python_edition_defaults
import time:       931 |        931 |                             encodings.raw_unicode_escape
import time:       601 |        601 |                             encodings.unicode_escape
import time:       905 |        905 |                                   _compat_pickle
import time:      4212 |       4212 |                                   _pickle
import time:      1933 |       7049 |                                 pickle
import time:      1805 |       8853 |                               google.protobuf.internal.containers
import time:       496 |        496 |                                 google.protobuf.internal.wire_format
import time:       867 |       1363 |                               google.protobuf.internal.encoder
import time:      1017 |      11232 |                             google.protobuf.internal.decoder
import time:       916 |        916 |                             google.protobuf.internal.type_checkers
import time:       560 |        560 |                             google.protobuf.unknown_fields
import time:      5481 |      19718 |                           google.protobuf.text_format
import time:       622 |        622 |                           google.protobuf.internal.extension_dict
import time:       898 |        898 |                           google.protobuf.internal.message_listener
import time:      1798 |       1798 |                             google.protobuf.internal.field_mask
import time:      4056 |       5853 |                           google.protobuf.internal.well_known_types
import time:      1289 |      28378 |                         google.protobuf.internal.python_message
import time:       949 |      31179 |                       google.protobuf.descriptor_pool
import time:       773 |        773 |                       google.protobuf.runtime_version
import time:       287 |        287 |                           google.protobuf.pyext
import time:       442 |        442 |                           google.protobuf.pyext.cpp_message
import time:       633 |       1361 |                         google.protobuf.message_factory
import time:       428 |       1789 |                       google.protobuf.symbol_database
import time:       339 |        339 |                         google.protobuf.reflection
import time:       288 |        627 |                       google.protobuf.internal.builder
import time:      3317 |      49930 |                     google.protobuf.descriptor_pb2
import time:       443 |        443 |                               google.protobuf.duration_pb2
import time:       361 |        361 |                               google.protobuf.timestamp_pb2
import time:       314 |        314 |                               google.protobuf.field_mask_pb2
import time:       321 |        321 |                               google.protobuf.struct_pb2
import time:       450 |        450 |                               google.protobuf.wrappers_pb2
import time:        78 |         78 |                                 google.protobuf.pyext._message
import time:       506 |        583 |                               proto.marshal.compat
import time:       350 |        350 |                                   proto.utils
import time:       543 |        893 |                                 proto.marshal.collections.maps
import time:       509 |        509 |                                 proto.marshal.collections.repeated
import time:       335 |       1736 |                               proto.marshal.collections
import time:       277 |        277 |                               proto.marshal.rules
import time:       504 |        504 |                               proto.marshal.rules.bytes
import time:      1297 |       1297 |                                 proto.primitives
import time:       411 |       1708 |                               proto.marshal.rules.stringy_numbers
import time:      2363 |       2363 |                                 proto.datetime_helpers
import time:       514 |       2876 |                               proto.marshal.rules.dates
import time:       544 |        544 |                               proto.marshal.rules.struct
import time:       362 |        362 |                               proto.marshal.rules.wrappers
import time:       466 |        466 |                               proto.marshal.rules.field_mask
import time:       969 |      11906 |                             proto.marshal.marshal
import time:       416 |      12322 |                           proto.marshal
import time:        36 |      12357 |                         proto.marshal.rules
import time:       294 |      12650 |                       proto.marshal.rules.message
import time:       772 |      13421 |                     proto._file_info
import time:       330 |        330 |                     proto._package_info
import time:       300 |        300 |                     proto.marshal.rules.enums
import time:      1001 |      65856 |                   proto.enums
import time:       441 |        441 |                   proto.fields
import time:      1312 |       1312 |                     google.protobuf.json_format
import time:       763 |       2074 |                   proto.message
import time:       364 |        364 |                   proto.modules
import time:       202 |        202 |                   proto.version
import time:       506 |      69441 |                 proto
import time:       102 |        102 |                   google.type
import time:       725 |        725 |                   google.type.latlng_pb2
import time:      4497 |       5324 |                 google.cloud.firestore_v1.types.document
import time:       851 |      75614 |               google.cloud.firestore_v1.types.aggregation_result
import time:       855 |        855 |               google.cloud.firestore_v1.types.bloom_filter
import time:       925 |        925 |               google.cloud.firestore_v1.types.common
import time:       394 |        394 |                 google.protobuf.any_pb2
import time:       538 |        932 |               google.cloud.firestore_v1.types.explain_stats
import time:       601 |        601 |                 google.cloud.firestore_v1.types.pipeline
import time:      5129 |       5129 |                 google.cloud.firestore_v1.types.query
import time:      1027 |       1027 |                 google.cloud.firestore_v1.types.query_profile
import time:      1846 |       1846 |                 google.cloud.firestore_v1.types.write
import time:       135 |        135 |                 google.rpc
import time:       665 |        665 |                 google.rpc.status_pb2
import time:      5525 |      14924 |               google.cloud.firestore_v1.types.firestore
import time:       494 |      93742 |             google.cloud.firestore_v1.types
import time:       281 |        281 |                   grpc._cython
import time:      1290 |       1290 |                       grpc._typing
import time:       878 |       2168 |                     grpc._observability
import time:      1434 |       1434 |                     pkgutil
import time:     74908 |      78508 |                   grpc._cython.cygrpc
import time:       581 |      79370 |                 grpc._compression
import time:       654 |        654 |                 grpc._runtime_protos
import time:       344 |        344 |                 grpc._grpcio_metadata
import time:       152 |        152 |                 grpc_tools
import time:       101 |        101 |                 grpc_health
import time:        89 |         89 |                 grpc_reflection
import time:       587 |        587 |                     grpc.aio._metadata
import time:       388 |        388 |                     grpc.aio._typing
import time:       994 |       1968 |                   grpc.aio._base_call
import time:       973 |        973 |                   grpc.aio._base_channel
import time:       971 |        971 |                   grpc.aio._base_server
import time:      1777 |       1777 |                     grpc._common
import time:      1967 |       3743 |                   grpc.aio._call
import time:       354 |        354 |                       grpc.aio._utils
import time:      1817 |       2171 |                     grpc.aio._interceptor
import time:      1114 |       3284 |                   grpc.aio._channel
import time:       748 |        748 |                   grpc.aio._server
import time:       556 |      12241 |                 grpc.aio
import time:      2351 |      95299 |               grpc
import time:      3776 |       3776 |                   google.api_core._python_version_support
import time:      1014 |       4790 |                 google.api_core._python_package_support
import time:       663 |        663 |                 google.api_core.version
import time:    158315 |     163766 |               google.api_core
import time:       617 |        617 |                   google.api_core.client_info
import time:       733 |       1350 |                 google.api_core.gapic_v1.client_info
import time:      1405 |       1405 |                     google.rpc.error_details_pb2
import time:       523 |        523 |                     grpc_status
import time:       377 |        377 |                       grpc_status._common
import time:      1666 |       1666 |                           grpc._simple_stubs
import time:      1134 |       2799 |                         grpc.experimental
import time:       594 |        594 |                         grpc.experimental.aio
import time:       359 |       3751 |                       grpc_status._async
import time:       822 |       4949 |                     grpc_status.rpc_status
import time:      2053 |       8928 |                   google.api_core.exceptions
import time:       903 |        903 |                     google.api_core.retry.retry_base
import time:       523 |        523 |                     google.api_core.retry.retry_unary
import time:       537 |        537 |                     google.api_core.retry.retry_unary_async
import time:       512 |        512 |                     google.api_core.retry.retry_streaming
import time:       471 |        471 |                     google.api_core.retry.retry_streaming_async
import time:       525 |        525 |                     google.api_core.datetime_helpers
import time:       723 |       4192 |                   google.api_core.retry
import time:       496 |        496 |                   google.api_core.timeout
import time:       690 |      14304 |                 google.api_core.gapic_v1.config
import time:       322 |        322 |                   google.api_core.retry_async
import time:       419 |        741 |                 google.api_core.gapic_v1.config_async
import time:       935 |        935 |                     google.auth.transport.grpc
import time:       430 |        430 |                     google.api_core.general_helpers
import time:      1223 |       2588 |                   google.api_core.grpc_helpers
import time:       765 |       3352 |                 google.api_core.gapic_v1.method
import time:      2240 |       2240 |                   google.api_core.grpc_helpers_async
import time:       571 |       2811 |                 google.api_core.gapic_v1.method_async
import time:       387 |        387 |                 google.api_core.gapic_v1.routing_header
import time:       665 |      23608 |               google.api_core.gapic_v1
import time:      1062 |       1062 |               google.cloud._helpers
import time:      3721 |       3721 |                 grpc._channel
import time:       556 |       4277 |               google.cloud.exceptions
import time:       708 |        708 |               google.cloud.firestore_v1.transforms
import time:      1134 |       1134 |               google.cloud.firestore_v1.field_path
import time:       543 |        543 |               google.cloud.firestore_v1.vector
import time:      1448 |     291842 |             google.cloud.firestore_v1._helpers
import time:      1524 |       1524 |                 google.cloud.firestore_v1.base_document
import time:      1354 |       2877 |               google.cloud.firestore_v1.base_batch
import time:       646 |       3523 |             google.cloud.firestore_v1.async_batch
import time:       548 |        548 |                     google.cloud.firestore_v1.batch
import time:       639 |        639 |                     google.cloud.firestore_v1.base_transaction
import time:       508 |        508 |                           google.api_core.bidi_base
import time:       868 |       1376 |                         google.api_core.bidi
import time:      2222 |       3597 |                       google.cloud.firestore_v1.watch
import time:       656 |       4253 |                     google.cloud.firestore_v1.document
import time:      2429 |       2429 |                           google.cloud.firestore_v1.pipeline_expressions
import time:       791 |       3220 |                         google.cloud.firestore_v1.base_aggregation
import time:      5547 |       5547 |                           google.cloud.firestore_v1.query_profile
import time:       733 |       6280 |                         google.cloud.firestore_v1.query_results
import time:       738 |        738 |                         google.cloud.firestore_v1.stream_generator
import time:       633 |      10870 |                       google.cloud.firestore_v1.aggregation
import time:      1094 |       1094 |                         google.cloud.firestore_v1.base_vector_query
import time:      1040 |       1040 |                         google.cloud.firestore_v1.order
import time:      2189 |       4322 |                       google.cloud.firestore_v1.base_query
import time:      3814 |       3814 |                       google.cloud.firestore_v1.vector_query
import time:       913 |      19917 |                     google.cloud.firestore_v1.query
import time:      1669 |      27025 |                   google.cloud.firestore_v1.transaction
import time:       747 |        747 |                   google.cloud.firestore_v1.async_stream_generator
import time:      1049 |      28820 |                 google.cloud.firestore_v1.async_aggregation
import time:       593 |        593 |                   google.cloud.firestore_v1.async_vector_query
import time:       750 |       1342 |                 google.cloud.firestore_v1.async_query
import time:       750 |        750 |                 google.cloud.firestore_v1.base_collection
import time:      2983 |      33894 |               google.cloud.firestore_v1.async_collection
import time:       851 |        851 |               google.cloud.firestore_v1.async_document
import time:       819 |        819 |               google.cloud.firestore_v1.async_transaction
import time:       689 |        689 |                 google.api_core.client_options
import time:       839 |        839 |                 google.api_core.path_template
import time:       442 |        442 |                   google.auth.api_key
import time:       758 |       1200 |                 google.cloud.client
import time:       465 |        465 |                   google.cloud.firestore_v1.bulk_batch
import time:       441 |        441 |                   google.cloud.firestore_v1.rate_limiter
import time:      6668 |       7573 |                 google.cloud.firestore_v1.bulk_writer
import time:       786 |        786 |                   google.cloud.firestore_v1.services
import time:       663 |        663 |                     google.api_core.client_logging
import time:      1197 |       1197 |                     google.cloud.firestore_v1.services.firestore.pagers
import time:      4479 |       4479 |                     google.cloud.location
import time:       166 |        166 |                       google.api
import time:       684 |        684 |                         google.api.http_pb2
import time:       957 |       1641 |                       google.api.annotations_pb2
import time:       394 |        394 |                         google.api.launch_stage_pb2
import time:      1064 |       1458 |                       google.api.client_pb2
import time:       995 |       4259 |                     google.cloud.location.locations_pb2
import time:       156 |        156 |                     google.longrunning
import time:       567 |        567 |                             google.protobuf.empty_pb2
import time:       860 |       1427 |                           google.longrunning.operations_proto_pb2
import time:       954 |       2380 |                         google.longrunning.operations_pb2_grpc
import time:      1481 |       3861 |                       google.longrunning.operations_grpc_pb2
import time:      1074 |       4935 |                     google.longrunning.operations_pb2
import time:      2055 |       2055 |                         google.cloud.firestore_v1.services.firestore.transports.base
import time:      6821 |       6821 |                         google.cloud.firestore_v1.services.firestore.transports.grpc
import time:      1524 |       1524 |                         google.cloud.firestore_v1.services.firestore.transports.grpc_asyncio
import time:       542 |        542 |                           google.api_core.rest_helpers
import time:       613 |        613 |                             google.api_core._rest_streaming_base
import time:       528 |       1141 |                           google.api_core.rest_streaming
import time:      3604 |       3604 |                           google.cloud.firestore_v1.services.firestore.transports.rest_base
import time:      3920 |       9205 |                         google.cloud.firestore_v1.services.firestore.transports.rest
import time:       928 |      20530 |                       google.cloud.firestore_v1.services.firestore.transports
import time:        50 |      20580 |                     google.cloud.firestore_v1.services.firestore.transports.base
import time:      3116 |      39380 |                   google.cloud.firestore_v1.services.firestore.client
import time:      1592 |       1592 |                   google.cloud.firestore_v1.services.firestore.async_client
import time:       757 |      42514 |                 google.cloud.firestore_v1.services.firestore
import time:      2214 |       2214 |                   google.cloud.firestore_v1.pipeline_stages
import time:      1615 |       1615 |                   google.cloud.firestore_v1.base_pipeline
import time:      1232 |       5060 |                 google.cloud.firestore_v1.pipeline_source
import time:      1153 |      59025 |               google.cloud.firestore_v1.base_client
import time:      1378 |       1378 |                 google.cloud.firestore_v1.pipeline_result
import time:       613 |       1990 |               google.cloud.firestore_v1.async_pipeline
import time:      1087 |      97663 |             google.cloud.firestore_v1.async_client
import time:       776 |        776 |               google.cloud.firestore_v1.collection
import time:       551 |        551 |               google.cloud.firestore_v1.pipeline
import time:       798 |       2123 |             google.cloud.firestore_v1.client
import time:       583 |     490096 |           google.cloud.firestore_v1
import time:       659 |     490754 |         google.cloud.firestore
import time:       492 |     491246 |       firebase_admin.firestore
import time:     11674 |     902215 |     app.api.history
import time:      9506 |    1175893 |   app.api
import time:      9171 |    2215718 | app.main
